"","GEOID","TRACT","PLACE"
"195","10005051305","513.05","Selbyville"
"196","10005051701","517.01","Laurel"
"197","10005051802","518.02","Laurel"
"198","10005050802","508.02","Milton, Georgetown"
"199","10005051801","518.01","Bethel, Laurel"
"200","10001041802","418.02","Wyoming, Dover"
"201","10001042202","422.02","Magnolia, Riverview"
"202","10001040700","407","Dover"
"203","10001041600","416","Camden, Dover, Highland Acres, Kent Acres, Rodney Village"
"204","10001040202","402.02","Smyrna, Clayton"
"205","10001041801","418.01","Cheswold, Dover"
"206","10001041100","411","Dover Base Housing, Dover"
"207","10001041900","419","Hartly"
"208","10003013400","134","Pike Creek"
"209","10003013901","139.01","Brookside"
"210","10003012100","121","Greenville"
"211","10003013300","133","Pike Creek"
"212","10003012600","126","Elsmere, Newport"
"213","10003013100","131","Pike Creek"
"214","10003013200","132","Pike Creek"
"215","10003013000","130","Newport"
